PlaceId,Name,Phone,Addr,Photos
ChIJO_5GJ5GaP44R1dWA5h03Ffo,Hotel Movich Chico 97,(6) 3113337,Cra. 11b #97-3,10
ChIJCbP2WfWaP44RXkMkzGltsAo,Andrés DC,(1) 8612233,Calle 82 #12-21 Dentro del centro comercial El Retiro,10
ChIJB-tLPZKaP44RuPSiGej_8Zg,Bardot,314 7976749,Bogotá,0
ChIJCZp6xfSaP44RP4YQ7xqpwFk,Pachanga,,Bogotá,0
ChIJE_a1542aP44RCnaEO4hJuys,Palco 93,,Bogotá,0
ChIJF-rfk7aaP44RM4Zfzhz6TxY,Full 80's 118,(1) 3000586,Kr 19 #118-52,10
ChIJrcVQZ_WaP44Rr0CwNsfTygA,Tresor Lounge Bar,,Cra. 13,0
ChIJFYYLVpGaP44RstPeDwlDUc4,Gaira,(1) 7462696,Cra. 13 #96-11,10
ChIJtdmq6IqaP44RPf1YdCKZGLE,Apolo's Men,(1) 2575443,18,10
ChIJIbiGXvWaP44R9u_YXpWCbS0,Spin,,Cl. 82 #12-84,0
ChIJRUE_HZqaP44R5h_yU2XXGGE,Juan Valdez,(1) 3383838,Ac. 100 #7A-81,9
ChIJY0T30pCaP44RxF6VIydhJ8M,Bar Terraza del Valle,,Ak. 11 #97-31,0
ChIJCZVSevWaP44Ravu0WTrkVTk,Yazta,,Cl. 81 #12-95,0
ChIJySSlvV-aP44RXCAcazD0e9s,Mar De Fondo,,Bogotá,0
ChIJWbh3NPWaP44Rqh_8tZp5wME,The Irish pub,(1) 6918711,Cra. 12a #8348,10
ChIJJfMHBreaP44R5r_xNzWIiOA,Viva Brasil Rodizio,(1) 2137686,Kr 19 #114a27,10
ChIJJXV9BAiQP44Rj_ngrpzkkWc,El Rodizio,,Cl. 119 #5-08,0
ChIJk61CN_WaP44RLE2NnngVnW8,Casa De La Cerveza,(1) 6348910,Zona T,10
ChIJ2QD9kqeaP44RUrDl5aE415A,KATHMANDU,(1) 2133276,Cra. 6 #117-26,10
ChIJ32MxZq2aP44RwhG6OFfo0Bk,Clinica La Carolina,(1) 5681613,Cra. 14 #127-36,2
ChIJ12o91oqaP44Rk6PznLeCoJ8,La Hamburgueseria,(1) 6102001,Calle 85 #12-49,10
ChIJh-LkWvWaP44REqQs27cR4Lc,Tribeca,6912290,Cra. 15 #88-71,9
ChIJ3cBTzbCaP44RidpoCMOwrjs,Beer Station 116,317 5051476,Cl. 116 #1559,10
ChIJiQ1r06iaP44RCQZMLSUzMMg,Tienda de Cafe,(1) 2133118,Cl. 119 #6-16,10
ChIJ7UZv5I2aP44Rck7jbtZeEgU,Gallery Café Book,(1) 2252369,Bogotá,10
ChIJweNVAKiaP44RhzSW8hYiE04,bistronomy,320 4515668,Cra. 6 #119-24,10
ChIJqapO4PSaP44RDhKyQbDwU-4,La Villa,311 4920249,Cra. 14a #83-56,10
ChIJ_5GqPZKaP44RYlgGAwzwA7I,Balche Wine Bar,,Bogotá,0
ChIJ-3NqNvWaP44R_qWzZQD08Ic,Voila,,Cra. 12 #84-12,0
ChIJac7rHwiQP44R7rdMw6o9ZRA,LA PUERTA DE ALCALA,311 5528783,Cl. 118 #5-13,10
ChIJtylzwkOFP44RQdYz-PH1vG0,Bogota Beer Company,(1) 7429292,Avenida 19 #139 – 07,10
ChIJ6-8qwqeaP44Rkkoe2914LYU,The Irish pub,(1) 2134157,Cra. 6a #11745,10
ChIJDwvBZvWaP44RvEqQMJT8tow,Rock Garden Pub,,Cra. 6 #119b,0
ChIJjYdg9o2aP44RiBB4kB_DF8Y,The Red Lion English pub,(1) 6917938,Cra. 12 #9354,5
ChIJdbBi_QeQP44RTfZN9PbOJ-4,Santo Pecado,(1) 6295700,Cra. 5 #119-47,10
ChIJ2XHeV7aaP44RxIXfFqeoSTc,Plaza Mexico,310 5503274,Cl. 116 #18B-80,10
ChIJs8OspfWaP44RxcbT6_Z4KaE,Caf y Crepes,,Cra. 14a #82-16,10
ChIJs_rqWfOaP44RxOZEKq-fgbc,Night Club Extasis,320 4582914,Ac. 85 #15-30,0
ChIJI5n631uaP44RPUKMBXFCT7o,Revolution Bar,,Cll 74,10
ChIJuzzq842aP44R-yJORcORx3w,La Xarcuteria 93,(1) 6165538,Cra. 12 #93-43,10
ChIJvYxbLI2aP44Rm0CKDEvgVik,Cavu Club,310 2703999,Bogotá,3
ChIJi_wiXLaaP44RIVIoKFgVAy4,Jawa,(1) 2137486,Cl. 118 #20-51,3
ChIJ06gFt_SaP44ROPxZd0ZyftY,El Df,,Bogotá,0
ChIJZdaBzrCaP44RakmnePDtXFk,Cantares,310 2119219,Cra. 17a #116 - 39,10
ChIJETiFc5KaP44RW4RQZU7zEj4,Tekila,,Bogotá,0
ChIJxRfB5_SaP44RtdYfu4Xht5k,Simona,301 3717252,Cl. 84 Bis,10
ChIJxSZJ1oqaP44RgImEbNQ7Jik,EL MOZO,313 4229260,Calle 85 #12-51,10
ChIJoympgJaaP44RQLu9rNd9yt8,Clover Pub Restaurante,(1) 5202966,A 89,0
ChIJsWCjc5KaP44R78FbkzV_p9U,La Leyenda,313 4530987,Bogotá,10
ChIJKa6C54qaP44RAbcLbK_dr3M,Khromatiko Lounge,,Cra. 12 #84-12,0
ChIJvRBgJfWaP44RjBa4RZpbwv0,Santa Bar,,Cl. 82 #12-84,0
ChIJOQUQFPWaP44RZ0TRwyU5jz8,Music Factory,,Cra. 12 #84-12,0
ChIJCSWIIvWaP44R2TAO7GIBz0Y,El Cutre,321 3810797,Carrera 14 # 83 - 08,0
ChIJj8sNzoqaP44RwTN0kezrCQc,Coconuts,,Cra. 12 #84-12,0
ChIJJwwjvpOaP44RPNhY_eI5gZU,yeira lunch & drinks,(1) 6917021,94,0
ChIJqZcUDbeaP44RD_mh_2mQAig,SHAMUA,(1) 2142691,Kr 19 #114-70,10
ChIJX5mV_7aaP44RmMm6h1426xc,La chula,321 4847329,Cl. 116 #1950,10
ChIJHbNiJKiaP44RSUg5f63Ksnk,London Calling Pub,,Cl. 120a #6A-24,10
ChIJDzb4gcSaP44ROyErZq-JRpA,Bogota Beer Company,,Cra. 53 #102a86,0
ChIJIeabMF2aP44REemPzgTQeGw,JW Marriott Hotel Bogota,(1) 4816000,Cl. 73 #8-60,10
ChIJbYnp-UGaP44RgKtBNgwuNbU,Hotel Emaus Bogotá,(1) 5442005,Cra. 4 #69a46,10
ChIJF1u71dibP44RdDorED3WHPs,Hotel Ferrovial Corferias,(1) 2695559,Cra. 40 #22-59,10
ChIJ86oK5sKbP44R4AWymT4y0P4,Hotel TRYP Bogotá Embajada,(1) 4893000,Av La Esperanza,10
ChIJI51xKEGaP44Rnj2BN0QTKpk,La Pinta,(1) 2119526,Cl. 65 #5-67,4
ChIJ_56PdzCaP44Rg0KBMgiwcxo,Kirlybang Kaffe,,Santa Fe,0
ChIJlwhwRyWaP44RoWjNr8YMEpU,Caf Bar 2600,,Bogotá,0
ChIJtRknhCiaP44RqAZm7MNprVE,Cuarto Beat,,Bogotá,0
ChIJgWVPc0aaP44RveHhLCoCHek,Le Fetiche,,Bogotá,0
ChIJZTgBbEeaP44RLbBoXfPZfuQ,Caf y Bar Castro,,Cl. 62 #7-62,0
ChIJfaJx4TiaP44RjCSjQGppMEQ,Warehouse Bar,,Bogotá,0
ChIJLcs_t0iaP44RvDUOz8R6mls,Modelos Club,,Bogotá,0
ChIJ7xrBaJqZP44R--xhhrF_t3E,La Tapería,310 3007161,N.,10
ChIJqXhNpzSaP44RJCd6otSeEu4,Colombian Pub,,72,5
ChIJD-UQZ0GaP44RN72WoOoU6fs,Astrid y Gaston,,Cra. 7 #67-64,10
ChIJBW6y76WZP44RsnGy7CNn8cM,Free Theater Chapinero,(1) 2171988,Cl. 62 #9A-65,10
ChIJ42USGUKaP44RVQtKh2CMgVE,La Hamburgesería,(1) 3213350,calle 70 # 4-69,10
ChIJCR7hX1maP44RsKZU4UEcjjM,Amarissimo,,Ak. 24 #73-43,0
ChIJA5uZ5TiaP44RWgqfDVjO-LI,Noches De Garibaldi,310 8545974,Cra. 7 #59-34,10
ChIJHfHG4FyaP44Rp3aYj27acNE,Restaurante Daniel,(1) 2493404,Cl. 73 #9-70,10
ChIJX3KFj12FP44RsiD3PUAUgVA,Restaurante Bellini Centro Internacional,310 2362146,Cr 13 # 29 - 31,10
ChIJnUsBWzOaP44RjykdlMrkkSU,Morena Bar,,Cra. 27 #51A-93,0
ChIJjeR6lzSaP44RvihSSRx1tzo,Terraza Bar Café Galerias Cc,(1) 2103870,Bogotá,2
ChIJNSj3TFmaP44RWqWa4SOzlzU,Bar Amar,,Cra. 15 #75-35,0
ChIJa8KhWjOaP44Rrd-tjcNuNg8,Mayans,,Cl. 52 #27A-15,0
ChIJCfh-ICyaP44REtTgyqNeYys,Evanescence Caf Bar,,Bogotá,1
ChIJpw1bZ8-YP44ROBlmlqgKKU0,Galeria Café Libro / Palermo,(1) 2851794,Transversal 15B # 46-38,10
ChIJ3xZNnUiaP44RFwvkTIn1RKw,Billares Club 8,,Ac 63 #1532,2
ChIJJY99YTiaP44ReQ0qJO5Tjxg,Indie Cave - Music Bar,,Cra. 9 #59-6,10
ChIJYcq820aaP44RndxkGpRSh6E,Village Café,(1) 3466592,Cra. 8,10
ChIJHYhUk0WaP44RI2peSj8FMxU,Escandinavia Video,,Bogotá,1
ChIJaRzpRkSaP44R6Lyp4D-I9kc,Matik Matik,(1) 2499832,Cra. 11 #67-20,10
ChIJmeuiBTCaP44RpAAH2NScqxU,Forty Nine Club,311 2163934,Cra. 13 #49-77,10
ChIJx526M9-bP44RGrZsQRVTdBM,Hotel Platinum Suite Hotel,(1) 3378080,Av Esperanza No. 40 -76,9
ChIJQ7CDXTiaP44RmxPXdwZ42iA,Dagoas SPA,(1) 2129939,Cl. 59 #934,1
ChIJT9EEnkSaP44Rwgq4JkUM64Y,Urania Galera Caf,,Bogotá,3
ChIJQ4T-rDSaP44RcUvvazCZXSA,Medieval Karaoke Bar,313 4899614,Ac 53 #27a47,0
ChIJa2mstjSaP44RBK7Q897RXoE,Corner tango,315 3091972,Cl. 53a #27a-19,10
ChIJ-QhFsDSaP44RJGl24PA6Nc0,Narguila,317 4404284,Cra. 27a #53-29,2
ChIJD70AvDSaP44R2952s-wwBAA,PACHANGA POCHOLA,(1) 3466276,Cra. 27 #53-41,10
ChIJRYwHWzOaP44REzIaiM90CEc,Tabú Studio Bar,314 4605914,Cra. 27 #52-24,10
ChIJyQnMOTOaP44RsL63rAbAL9s,Soda Bar Retro,,Cra. 27 #5128,4
ChIJrXrjYzOaP44RLm6c9SoUurw,Oboe Cafe Bar,,Cl. 52a #2532,1
ChIJQ690YzSaP44RkuRPcunDruE,Bogotá Beer Company,(1) 7429292,Carrera 24 # 53 - 66,10
ChIJqYW7pTOaP44RCrgQVaaIN28,Fhorno de las carnes,(1) 2491143,Cra. 23 #51-32,10
ChIJiRZ6wjOaP44RjLcMSA7T8Qs,BAR DONDE MAO,312 4960837,Cra. 21 #52-10,1
ChIJlR5yJ8ibP44RBG9qL57siLw,La Bicicletería D.C,320 9673988,Teusaquillo,10
ChIJKQwjIzKaP44RSmT-7iMt_ug,Benkos,314 4593390,Cra. 20 #49-84,6
ChIJxU8XES2aP44R9s_oSleDmuc,San Cafe Club de Jazz y Galería,(1) 7581314,Cra. 24 #45-64,10
ChIJlxX9m9ObP44RXwBdOAhwoAA,La madre,319 3906290,Cra. 33a #3156,0
ChIJy_dwoLObP44RiiTNW4VX6R8,VIDEO BEAMS Y LAMPARAS SAS,(1) 2211509,Cl. 63a #35-73,2
ChIJU7BW7kuaP44RGjhg9t3-t6A,La Bodega BBC El Campín,7429292,Ac 63 #2336,5
ChIJ7wKuvCyaP44RDasYhQWdqfM,Dos Carreras,318 8459871,Cra. 25 #4194,10
ChIJCdaqrzeaP44R6FtiHuV4w3E,Comunidad S,321 3503906,Cra. 16 #5714,1
ChIJg45y0Q6ZP44ReochAID8c4M,HOSTAL CASA QUEVEDO,(1) 2812527,Cra. 1a #12B-30,8
ChIJh4nYWK-ZP44RXPaHhZBj0VA,Masaya Hostel Bogotá,310 6092782,Cra. 2 #12-48,10
ChIJnflwZ6aZP44RVzthjZt0G_Y,Bar Candelario,(1) 7561199,Cra. 5 #12-40,10
ChIJD_N2A6aZP44RHiMUzWCYJl0,La Bruja,(1) 3369261,Cl. 12 #3-45,10
ChIJreEUw6iZP44RaMpxIZgxLYY,CAPITAL COCINA Y CAFE,(1) 3420426,Cl. 10 #2-99,10
ChIJtfDZiJqZP44R-G_-QmrdkM0,Restaurante Gaudí,(1) 3427183,Cra. 4a #27-54,10
ChIJgTfkDnSZP44ROAprlpv3mQs,La Hamburguesería,(1) 2811286,Cra. 4a #27-27,10
ChIJn1DV65OYP44R7A-Gg9Sr5XY,El Goce Pagano,316 8710646,Diagonal 20 #0-82,10
ChIJV5vO7KWZP44RenKbNAcPKLE,FEDORA coffe &cocktails,(7) 2434293,Cra. 2 #12b82,10
ChIJ_z2NYa-ZP44RkkEAU4qh5IU,CANTARO RESTO BAR,(1) 2841334,Cl. 12 #1-44,10
ChIJP5EI4Q2ZP44Rqy2lNpjC0ww,LA NACIONAL 1A,312 4057413,a 18b-32,3
ChIJuTfoaJCZP44R94EAd4kHZ_0,Box Populi,316 5258062,Carrera 22 # 9 -45,10
ChIJzRjgyguZP44RxWyJwXvub18,Asadero Coma Parrilla,,Cra. 14 #12-46,0
ChIJayyU7AqZP44RnfSNMvYnl74,parranda vallenata bogota,311 2942421,Troncal Caracas,0
ChIJY61v52yZP44RdFkjlh9XzlE,frutos jugos naturales,319 6716793,Cra. 27 #1030,1
ChIJtY1r66eZP44R2c_rUwXiYqM,El Fogon de las Sopitas,(1) 2433404,Calle 12 8 - 38,3
ChIJUweyPhSZP44R9AmxQ4BRkn4,Jon Dech Cafe,321 4016497,Cra. 27 #5-38,10
ChIJG9EPr6eZP44Rn5honxQbFlY,Peña Folclórica de Bogotá,315 6078295,Calle 12 # 6- 81 Candelaria Centro Historico,10
ChIJ6dADnWuZP44R7sZ9Po2Abmc,estacion ricaurte,2018100,Ak 30 #9-35,0
ChIJi0W76aaZP44R8eYP7nRuxTI,LAGA,,Cl. 12c #636,3
ChIJP0EVsW-ZP44RB-sTz1KPx5M,Express Universal,310 2925204,#29- a 29-,0
